"country_name","iso_country_code","population","surface_area_km2","gini_index","happy_planet_index","human_development_index","world_happiness_report_score","sustainable_economic_development_assessment_seda","gdp_billions_ppp","gdp_per_capita_ppp","gdp_growth_annual_pct","health_expenditure_pct_of_gdp","health_expenditure_per_person","education_expenditure_pct_of_gdp","education_expenditure_per_person","school_life_expectancy_years","unemployment_pct","government_spending_score","government_expenditure_pct_of_gdp","political_rights_score","civil_liberties_score","political_stability_absence_of_violence","government_effectiveness","regulatory_quality","rule_of_law","control_of_corruption","judicial_effectiveness_score","government_integrity_score","property_rights_score","tax_burden_score","overall_economic_freedom_score","financial_freedom_score","women_mps_pct_of_all_mps"
"Taiwan","TWN",2.4e+07,32260,"33.6","-","-","6.3594508169999999","-","26","3008","3","6.8537354300000004","-","-","-","-","10.8","71.400000000000006","30.9",1,1,"0.89","1.27","1.37","1.1399999999999999","0.96","50.3","38.200000000000003","46.8","91.8","58.3","30","-"
"Tajikistan","TJK",9e+06,141510,"32.6","34.200000000000003","0.65","5.829234123","41.3","149.80000000000001","3080","7","6.12306537","193","-","-","11","2.6","89.8","18.5",7,6,"-0.67","-1.1200000000000001","-1.06","-1.35","-1.33","34.700000000000003","31.8","38","79.8","59.9","50","19"
"Tanzania","TZA",5.7e+07,885800,"37.6","22.1","0.53800000000000003","3.3471212389999998","36","1164.9000000000001","16888","2.8","3.77148642","96","3.4814300540000001","32.138231984753524","8","0.6","85.5","22",4,4,"-0.57999999999999996","-0.63","-0.57999999999999996","-0.45","-0.48","45.3","34.700000000000003","48.6","81.3","67.099999999999994","60","36.4"
"Thailand","THA",6.9e+07,510890,"44.5","37.299999999999997","0.755","5.9388952259999996","52.4","-","-","-","3.0940268299999998","610","-","-","16","-","-","-",6,5,"-0.76","0.38","0.14000000000000001","0.04","-0.39","-","-","-","-","-","-","4.8"
"Timor-Leste","TLS",1200000,14874,"31.9","-","0.625","-","-","5","4187","4.3","3.0940268299999998","141","-","-","13","4","30.9","48",2,3,"0.03","-1","-0.74","-1.17","-0.54","13.8","32","29.9","97.4","48.1","20","32.299999999999997"
"Togo","TGO",8e+06,54385,"46","13.2","0.503","4.3608050350000003","34.9","11.6","1550","5.3","6.6491304600000003","96","4.8763599400000004","30.239861051629209","12","6.8","73.3","29.8",4,4,"-0.74","-1.1299999999999999","-0.79","-0.71","-0.71","28.2","31.4","32.700000000000003","64.3","47.8","30","17.600000000000001"
"Tonga","TON",1e+05,717,"-","-","0.72599999999999998","-","-","0.6","5387","2.6","5.8601039100000003","324","-","-","-","4.9000000000000004","68.7","32.299999999999997",2,2,"0.79","-0.22","-0.4","0.31","-0.16","25.4","40.5","62.1","85.4","63.1","20","3.8"
"Trinidad and Tobago","TTO",1400000,5128,"-","15.7","0.78400000000000003","6.1918597220000002","58.7","43.6","31870","-1.8","6.0152091299999997","2204","-","-","-","3.9","54.4","39",2,2,"0.28999999999999998","0.26","0.03","-0.11","-0.36","49.8","33.1","54.9","83.5","57.7","50","31"
"Tunisia","TUN",1.2e+07,155360,"40","26.2","0.73499999999999999","4.124342918","49.3","130.6","11634","0.8","6.7404906599999999","774","-","-","15","14.8","75.5","28.6",2,3,"-1.05","-7.0000000000000007E-2","-0.41","7.0000000000000007E-2","-0.11","41.7","36.799999999999997","49.4","73","58.9","30","31.3"
"Turkey","TUR",8.1e+07,769632,"40.200000000000003","26.4","0.79100000000000004","5.607262135","53.3","1988.3","24912","3.8","4.1385330700000003","996","4.3711600300000004","530.11076370629883","16","10.3","68.099999999999994","32.6",5,6,"-1.8","7.0000000000000007E-2","0.04","-0.25","-0.19","54.5","42","54.7","74.7","65.400000000000006","60","14.6"
"Turkmenistan","TKM",6e+06,469930,"40.799999999999997","14.6","0.70599999999999996","5.229148865","-","95.5","17485","6.5","6.2548061500000003","1004","-","-","11","8.6","92.2","16.100000000000001",7,7,"-0.15","-1.21","-2","-1.49","-1.48","5","27.3","29.8","95.9","47.1","10","25.8"
"Tuvalu","TUV",11000,26,"-","-","-","-","-","-","-","-","14.955840589999999","523","-","-","-","-","-","-",1,1,"1.27","-0.74","-0.79","0.56000000000000005","0.06","-","-","-","-","-","-","6.7"
"Uganda","UGA",4.3e+07,197100,"39.5","19.399999999999999","0.51600000000000001","4.0005168910000002","30.9","85","2068","5","7.3019311699999996","139","2.2506799700000002","15.817668930653337","10","2.2999999999999998","90.9","17.399999999999999",6,4,"-0.56000000000000005","-0.57999999999999996","-0.22","-0.3","-1.04","40.299999999999997","28.3","43.5","73","62","40","34.299999999999997"
"Ukraine","UKR",4.5e+07,579330,"25.5","26.4","0.751","4.3110671040000001","52.5","353","8305","-9.9","6.1344959299999999","469","5.874939919","173.24682413289116","15","8.9","45","42.8",3,3,"-1.89","-0.46","-0.32","-0.71","-0.78","29.5","29","41","80.2","51.9","30","12.3"
"United Arab Emirates","ARE",9e+06,83600,"-","-","0.86299999999999999","7.0394196510000002","70.400000000000006","668.9","67871","3.9","3.4658999499999998","2426","-","-","-","3.7","70.900000000000006","31.2",7,6,"0.63","1.4","1.01","0.8","1.1299999999999999","83.4","77.3","76.3","98.4","77.599999999999994","60","22.5"
"United Kingdom","GBR",6.6e+07,241930,"32.4","31.9","0.92200000000000004","7.1032733920000002","74.599999999999994","2785.6","42481","2.2000000000000002","9.8767721099999992","4145","5.6934199330000004","2663.5813162628779","18","4.8","44.4","43",1,1,"0.26","1.41","1.71","1.68","1.84","93.8","79","92.2","65.2","78","80","32"
"United States","USA",3.26e+08,9147593,"45","20.7","0.92400000000000004","6.9917593","76","18569.099999999999","57436","2.4","16.836130189999999","9536","4.9894800190000002","2729.0808137034378","17","4.9000000000000004","56.5","38.1",2,1,"0.3","1.55","1.63","1.64","1.38","76.900000000000006","71.900000000000006","79.3","65.099999999999994","75.7","80","19.399999999999999"
"Uruguay","URY",3500000,175015,"41.6","36.1","0.80400000000000005","6.336009979","64.2","74.900000000000006","21527","1.5","9.2239280600000004","1748","-","-","16","8.1999999999999993","68.599999999999994","32.4",1,1,"1.06","0.42","0.66","0.59","1.29","67","71.599999999999994","69.3","78","69.2","30","20.2"
"Uzbekistan","UZB",3.2e+07,425400,"36.799999999999997","29.1","0.71","6.4214477539999999","43.1","205.7","6563","8","6.23430295","383","-","-","12","8.9","65.5","33.9",7,7,"-0.28000000000000003","-0.56000000000000005","-1.26","-1.1100000000000001","-1.1599999999999999","35.299999999999997","24.2","48.7","91","51.5","10","16"
"Vanuatu","VUT",3e+05,12189,"-","40.6","0.60299999999999998","-","-","0.7","2631","-0.8","3.54945303","106","4.9108300209999998","2.5620054655739457","-","5.4","78.5","26.8",2,2,"0.71","-0.9","-0.33","0.49","0.01","47.1","75.400000000000006","67.900000000000006","97","69.5","40","0"
"Venezuela","VEN",3.2e+07,882050,"39","33.6","0.76100000000000001","-","43.1","427","13761","-5.7","3.16147665","579","-","-","14","6.9","57.3","37.700000000000003",6,5,"-1.18","-1.4","-1.96","-2.2599999999999998","-1.36","13.8","7.5","5.2","72.5","25.2","10","22.2"
"Vietnam","VNM",9.6e+07,310070,"34.799999999999997","40.299999999999997","0.69399999999999995","5.1752786640000004","50.8","595.5","6429","6.7","5.65262156","334","-","-","-","2.2000000000000002","74","29.4",7,5,"0.31","0","-0.4","7.0000000000000007E-2","-0.57999999999999996","36.299999999999997","30.4","46.4","79.7","53.1","40","26.7"
"Yemen","YEM",2.8e+07,527968,"37.9","22.8","0.45200000000000001","3.2535600659999999","23.9","69.2","2375","-28.1","5.9826336299999996","144","-","-","-","17.100000000000001","80.900000000000006","25.2",7,6,"-2.96","-1.92","-1.45","-1.75","-1.59","16.600000000000001","21.2","17.899999999999999","-","-","-","0"
"Zambia","ZMB",1.7e+07,743398,"57.5","25.2","0.58799999999999997","3.9327774049999999","33.200000000000003","64.900000000000006","3880","3.6","5.3542873699999998","203","-","-","-","7.5","80.2","25.7",4,4,"0.11","-0.62","-0.47","-0.33","-0.54","40.6","36.299999999999997","46","72.099999999999994","54.3","50","18"
"Zimbabwe","ZWE",1.7e+07,386847,"43.2","22.1","0.53500000000000003","3.6383001799999999","29.7","28.6","1970","1.5","10.317197930000001","182","7.5306801800000001","77.649190791944974","10","5.0999999999999996","72","30.6",6,5,"-0.77","-1.19","-1.56","-1.38","-1.27","33","18.899999999999999","27.6","61.1","44","10","32.6"
