What is your current class standing?,Are you interested in applying to the Informatics major?,What operating system do you typically use?,Using the command-line / terminal,Using git for version control,Creating documents with Markdown,Using the R programming language,"How would you describe your coding/programmingexperience?",How many countries have you visited in your life?,Were you born in Washington state?,How many siblings do you have?,How many inches tall are you?,Do you consider yourself:,Are you a Seahawks fan?
Freshman,Yes,Mac,Have used it a few times,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",1,Yes,1,64,A dog person...,Yes
Sophomore,No,Mac,Never used it,Never used it,Never used it,Never used it,Experimented a bit with simple programming,12,No,2,,A dog person...,No
Junior,Already in the major,Mac,Intermediate user,Intermediate user,Have used it a few times,Never used it,"Lots of experience with a scripting language (Python, R, JavaScript, Java, etc.)",25,No,1,70,A dog person...,YES!
Sophomore,No,Mac,Never used it,Never used it,Never used it,Never used it,Never written code,7,No,3,71,A dog person...,YES!
Junior,No,Mac,Have used it a few times,Intermediate user,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",3,Yes,2,75,A dog person...,YES!
Sophomore,Maybe,Mac,Never used it,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",4,No,0,64.59,A dog person...,YES!
Sophomore,No,Mac,Never used it,Never used it,Never used it,Never used it,Never written code,5,No,1,72,A dog person...,No
Senior,No,Mac,Never used it,Never used it,Never used it,Never used it,Experimented a bit with simple programming,1,Yes,2,78,Neither,Yes
Freshman,Maybe,Mac,Have used it a few times,Never used it,Never used it,Never used it,,12,No,2,67,A dog person...,No
Junior,No,Mac,Intermediate user,Intermediate user,Have used it a few times,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",5,No,1,52,A dog person...,No
Senior,Maybe,Mac,Intermediate user,Have used it a few times,Have used it a few times,Intermediate user,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",6,No,1,69,A dog person...,YES!
Junior,No,Windows,Intermediate user,Intermediate user,Never used it,Have used it a few times,"Lots of experience with a scripting language (Python, R, JavaScript, Java, etc.)",8,No,2,64,A dog person...,No
Junior,Yes,Mac,Never used it,Never used it,Never used it,Never used it,Experimented a bit with simple programming,5,Yes,2,71,A dog person...,Yes
Sophomore,Yes,Windows,Have used it a few times,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",3,Yes,3,65,A dog person...,No
Sophomore,Yes,Mac,Have used it a few times,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",10,No,2,72,Both!,Yes
Sophomore,Yes,Windows,Have used it a few times,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",1,Yes,1,69,Both!,YES!
Junior,No,Mac,Never used it,Never used it,Never used it,Never used it,Experimented a bit with simple programming,16,Yes,1,68,A cat person....,No
Junior,No,Mac,Never used it,Never used it,Have used it a few times,Intermediate user,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",2,No,3,5.2,A dog person...,No
Sophomore,Yes,Windows,Never used it,Never used it,Never used it,Have used it a few times,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",8,No,0,71,Neither,No
Sophomore,Maybe,Windows,Expert user,Expert user,Expert user,Intermediate user,"Lots of experience with a scripting language (Python, R, JavaScript, Java, etc.)",8,Yes,2,65,A dog person...,No
Junior,No,Mac,Never used it,Never used it,Never used it,Never used it,Never written code,5,Yes,1,70,Both!,Yes
Freshman,Maybe,Mac,Never used it,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",4,No,0,62,Neither,No
Senior,No,Mac,Never used it,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",4,Yes,3,70,A dog person...,No
Sophomore,Yes,Windows,Intermediate user,Never used it,Never used it,Have used it a few times,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",3,Yes,1,73,A cat person....,Yes
